detector,chunk_index,gps_time,mean,std,min,max,peak_to_peak,rms
H1,0,1126259446,-3.2533515963087256e-21,2.5440706214328575e-19,-5.447665264916243e-19,5.495022623267229e-19,1.0942687888183472e-18,2.544278631852e-19
H1,1,1126259447,-6.4414359304737256e-21,1.3435506680315286e-19,-3.314665456274793e-19,3.3441509205377334e-19,6.658816376812526e-19,1.3450939027638952e-19
H1,2,1126259448,-9.13944591210448e-21,2.0129988757874916e-19,-4.853007453710405e-19,4.784654424152348e-19,9.637661877862753e-19,2.0150725597555373e-19
H1,3,1126259449,-3.5065773577573784e-21,1.7493713115162002e-19,-4.630359604035893e-19,3.468288586555362e-19,8.098648190591255e-19,1.749722719185101e-19
H1,4,1126259450,-1.76015263383247e-20,1.0702253116569527e-19,-2.7901506984999336e-19,2.269288313998558e-19,5.059439012498492e-19,1.0846029645243902e-19
H1,5,1126259451,7.197658194390718e-21,8.995518840799471e-20,-2.444562187798679e-19,2.847581115929959e-19,5.292143303728638e-19,9.024268504982054e-20
H1,6,1126259452,9.09288491014721e-22,3.073419753855245e-19,-6.751723858284052e-19,5.881900168703634e-19,1.2633624026987686e-18,3.0734332047310907e-19
H1,7,1126259453,1.9088433990779953e-20,2.5486986950888856e-19,-6.201454956580425e-19,7.3467498669318e-19,1.3548204823512224e-18,2.555836823736958e-19
H1,8,1126259454,2.5949141739705e-21,2.2430042273880456e-19,-4.713344728157411e-19,4.512103860449847e-19,9.225448588607257e-19,2.243154324168908e-19
H1,9,1126259455,-2.3844275458417712e-20,1.2171611449068548e-19,-3.3506675676346456e-19,2.641066191493302e-19,5.991733759127947e-19,1.24029681926733e-19
H1,10,1126259456,1.0004824176651662e-20,2.1188332189660682e-19,-4.822569869822728e-19,4.3023413621440954e-19,9.124911231966823e-19,2.121193970497437e-19
H1,11,1126259457,-1.6939966876872405e-20,2.835403481022356e-19,-5.257960874828244e-19,5.233323389110856e-19,1.04912842639391e-18,2.840459319893994e-19
H1,12,1126259458,-7.956250525647291e-21,3.4849927700691804e-19,-6.764677764786492e-19,6.192546402932886e-19,1.2957224167719377e-18,3.485900859129121e-19
H1,13,1126259459,-3.6206063498829796e-20,1.3954115856526342e-19,-3.7267034039199307e-19,3.252402393991235e-19,6.979105797911166e-19,1.4416176319613076e-19
H1,14,1126259460,3.2180438214269903e-22,2.2704959290999384e-19,-5.236333043637352e-19,5.191229698923853e-19,1.0427562742561206e-18,2.2704982096151117e-19
H1,15,1126259461,5.045503895720132e-20,3.2188987278794994e-19,-6.112881604321425e-19,6.858350162988667e-19,1.2971231767310092e-18,3.2582019759311316e-19
H1,16,1126259462,4.084007715926938e-20,1.9613760109693348e-19,-3.5748110802697618e-19,4.700311644445072e-19,8.275122724714833e-19,2.0034437967268977e-19
H1,17,1126259463,2.713439478870381e-20,1.34077517540928e-19,-3.073558010626101e-19,3.3543129317451803e-19,6.427870942371281e-19,1.3679567277690877e-19
H1,18,1126259464,-2.4929493296990078e-20,2.525368132145044e-19,-5.724201835501386e-19,4.821055056587923e-19,1.054525689208931e-18,2.537643033694498e-19
H1,19,1126259465,2.142468912343919e-21,3.4379362869540614e-19,-6.666015205738192e-19,6.275198192701497e-19,1.294121339843969e-18,3.4380030439863654e-19
H1,20,1126259466,-2.8879449393473466e-21,2.385543929914587e-19,-7.119963387086117e-19,7.714836337653786e-19,1.4834799724739902e-18,2.385718731147828e-19
H1,21,1126259467,-3.6280260180675867e-20,1.991832799155314e-19,-6.779892216094216e-19,4.699642674054624e-19,1.147953489014884e-18,2.0246045608139499e-19
H1,22,1126259468,-2.6233217175216972e-20,1.6798584069098487e-19,-4.558410140916793e-19,3.161010326873878e-19,7.719420467790671e-19,1.7002183493898378e-19
H1,23,1126259469,-2.819391031688167e-20,1.8622668547938781e-19,-4.090758539205854e-19,3.663497498446219e-19,7.754256037652073e-19,1.8834881195164253e-19
H1,24,1126259470,2.2793518323262147e-21,1.537304021995245e-19,-3.4121407751342557e-19,3.469675947637945e-19,6.881816722772201e-19,1.5374729918019078e-19
H1,25,1126259471,2.47121036302796e-20,1.2574165741209355e-19,-2.3977972171236866e-19,3.593388011566353e-19,5.9911852286900395e-19,1.281469955737316e-19
H1,26,1126259472,1.5932213398330887e-20,1.9811622329972388e-19,-4.023332740671253e-19,4.570330936049023e-19,8.593663676720276e-19,1.9875581339502002e-19
H1,27,1126259473,1.287855313252272e-20,2.3372252703070357e-19,-5.9821133831553715e-19,6.127919170795339e-19,1.211003255395071e-18,2.340770744272176e-19
H1,28,1126259474,7.940061400696372e-21,2.0504278705102264e-19,-4.338284954616005e-19,4.696083356286924e-19,9.03436831090293e-19,2.0519646463011455e-19
